"","Drug","log2MIC","Gene","log2FC"
"6952","KasA",-3,"gene125",-0.422685892
"6953","KasA",-2,"gene125",0.051963039
"6954","KasA",-1,"gene125",-0.314582412
"6955","KasA",0,"gene125",-0.863514907
"6956","KasA",1,"gene125",-0.580192654
"6957","KasA",2,"gene125",-1.203887549
"6958","KasA",3,"gene125",-2.653770259
"6959","Etha",-3,"gene125",0.56617303
"6960","Etha",-2,"gene125",0.770569422
"6961","Etha",-1,"gene125",2.065874661
"6962","Etha",0,"gene125",2.002846896
"6963","Etha",1,"gene125",-0.109624491
"6964","Etha",2,"gene125",-0.89664335
"6965","Etha",3,"gene125",-0.802530885
"6966","Cipro",-3,"gene125",0.388616748
"6967","Cipro",-2,"gene125",0.781891465
"6968","Cipro",-1,"gene125",1.002338242
"6969","Cipro",0,"gene125",1.267277785
"6970","Cipro",1,"gene125",1.463892252
"6971","Cipro",2,"gene125",2.437315304
"6972","Cipro",3,"gene125",-1.132247798
"6973","Levo",-3,"gene125",-0.275932243
"6974","Levo",-2,"gene125",0.686808571
"6975","Levo",-1,"gene125",0.779717396
"6976","Levo",0,"gene125",0.524940945
"6977","Levo",1,"gene125",-1.78523917
"6978","Levo",2,"gene125",-1.771821009
"6979","Levo",3,"gene125",-3.946541957
"6980","PAS",-3,"gene125",0.645121483
"6981","PAS",-2,"gene125",0.959411201
"6982","PAS",-1,"gene125",0.479764621
"6983","PAS",0,"gene125",0.756196882
"6984","PAS",1,"gene125",1.179202815
"6985","PAS",2,"gene125",1.602692879
"6986","PAS",3,"gene125",0.481432284
"6987","Line",-3,"gene125",-1.033854929
"6988","Line",-2,"gene125",-1.975799074
"6989","Line",-1,"gene125",-1.855020814
"6990","Line",0,"gene125",-1.14428502
"6991","Line",1,"gene125",-1.976074161
"6992","Line",2,"gene125",-1.971336242
"6993","Line",3,"gene125",-1.799013883
"6994","Rif",-3,"gene125",-0.039433583
"6995","Rif",-2,"gene125",0.305915777
"6996","Rif",-1,"gene125",-0.267408698
"6997","Rif",0,"gene125",-0.939327584
"6998","Rif",1,"gene125",-1.454050328
"6999","Rif",2,"gene125",-1.82417254
"7000","Rif",3,"gene125",-2.812139985
"7001","Ethi",-3,"gene126",-0.476281543
"7002","Ethi",-2,"gene126",-1.187384841
"7003","Ethi",-1,"gene126",0.495300449
"7004","Ethi",0,"gene126",-0.108325805
"7005","Ethi",1,"gene126",-0.183629189
"7006","Ethi",2,"gene126",-1.028907103
"7007","Ethi",3,"gene126",-1.895828474
"7008","KasA",-3,"gene126",-0.400408447
"7009","KasA",-2,"gene126",0.184384215
"7010","KasA",-1,"gene126",-0.288363661
"7011","KasA",0,"gene126",-0.964899995
"7012","KasA",1,"gene126",-0.473201025
"7013","KasA",2,"gene126",-0.871960772
"7014","KasA",3,"gene126",-3.319719002
"7015","Etha",-3,"gene126",0.276115859
"7016","Etha",-2,"gene126",0.304839442
"7017","Etha",-1,"gene126",0.954597935
"7018","Etha",0,"gene126",0.26988883
"7019","Etha",1,"gene126",-1.308846642
"7020","Etha",2,"gene126",-1.986908045
"7021","Etha",3,"gene126",-1.666324807
"7022","Cipro",-3,"gene126",0.361617431
"7023","Cipro",-2,"gene126",0.842894333
"7024","Cipro",-1,"gene126",0.838462314
"7025","Cipro",0,"gene126",1.63308057
"7026","Cipro",1,"gene126",1.880689954
"7027","Cipro",2,"gene126",2.259556091
"7028","Cipro",3,"gene126",-2.067499177
"7029","Levo",-3,"gene126",-0.145772277
"7030","Levo",-2,"gene126",0.795432849
"7031","Levo",-1,"gene126",1.117566155
"7032","Levo",0,"gene126",0.701075508
"7033","Levo",1,"gene126",-2.938230122
"7034","Levo",2,"gene126",-2.224042385
"7035","Levo",3,"gene126",-5.502711431
"7036","PAS",-3,"gene126",0.543100274
"7037","PAS",-2,"gene126",0.600758955
"7038","PAS",-1,"gene126",-0.074752083
"7039","PAS",0,"gene126",-0.1094693
"7040","PAS",1,"gene126",0.411380391
"7041","PAS",2,"gene126",0.907350712
"7042","PAS",3,"gene126",-0.392979377
"7043","Line",-3,"gene126",-1.079967233
"7044","Line",-2,"gene126",-2.275601787
"7045","Line",-1,"gene126",-2.164918237
"7046","Line",0,"gene126",-1.997907434
"7047","Line",1,"gene126",-2.767376648
"7048","Line",2,"gene126",-2.722278603
"7049","Line",3,"gene126",-2.068128971
"7050","Rif",-3,"gene126",0.35135265
"7051","Rif",-2,"gene126",0.794190775
"7052","Rif",-1,"gene126",0.425923525
"7053","Rif",0,"gene126",0.077303199
"7054","Rif",1,"gene126",-1.123491231
"7055","Rif",2,"gene126",-2.694277419
"7056","Rif",3,"gene126",-4.298633942
